H,f1,f2,f3
9,0.222222222,0.222222222,0.555555556
9,0.222222222,0.333333333,0.444444444
9,0.222222222,0.444444444,0.333333333
9,0.222222222,0.555555556,0.222222222
9,0.333333333,0.222222222,0.444444444
9,0.333333333,0.444444444,0.222222222
9,0.444444444,0.222222222,0.333333333
9,0.444444444,0.333333333,0.222222222
9,0.555555556,0.222222222,0.222222222
9,0.185185185,0.185185185,0.62962963
9,0.185185185,0.296296296,0.518518519
9,0.185185185,0.407407407,0.407407407
9,0.185185185,0.518518519,0.296296296
9,0.185185185,0.62962963,0.185185185
9,0.296296296,0.185185185,0.518518519
9,0.296296296,0.518518519,0.185185185
9,0.407407407,0.185185185,0.407407407
9,0.407407407,0.407407407,0.185185185
9,0.518518519,0.185185185,0.296296296
9,0.518518519,0.296296296,0.185185185
9,0.62962963,0.185185185,0.185185185
9,0.148148148,0.148148148,0.703703704
9,0.148148148,0.259259259,0.592592593
9,0.148148148,0.37037037,0.481481481
9,0.148148148,0.481481481,0.37037037
9,0.148148148,0.592592593,0.259259259
9,0.148148148,0.703703704,0.148148148
9,0.259259259,0.148148148,0.592592593
9,0.259259259,0.592592593,0.148148148
9,0.37037037,0.148148148,0.481481481
9,0.37037037,0.481481481,0.148148148
9,0.481481481,0.148148148,0.37037037
9,0.481481481,0.37037037,0.148148148
9,0.592592593,0.148148148,0.259259259
9,0.592592593,0.259259259,0.148148148
9,0.703703704,0.148148148,0.148148148
9,0.111111111,0.111111111,0.777777778
9,0.111111111,0.222222222,0.666666667
9,0.111111111,0.333333333,0.555555556
9,0.111111111,0.444444444,0.444444444
9,0.111111111,0.555555556,0.333333333
9,0.111111111,0.666666667,0.222222222
9,0.111111111,0.777777778,0.111111111
9,0.222222222,0.111111111,0.666666667
9,0.222222222,0.666666667,0.111111111
9,0.333333333,0.111111111,0.555555556
9,0.333333333,0.555555556,0.111111111
9,0.444444444,0.111111111,0.444444444
9,0.444444444,0.444444444,0.111111111
9,0.555555556,0.111111111,0.333333333
9,0.555555556,0.333333333,0.111111111
9,0.666666667,0.111111111,0.222222222
9,0.666666667,0.222222222,0.111111111
9,0.777777778,0.111111111,0.111111111
9,0.074074074,0.074074074,0.851851852
9,0.074074074,0.185185185,0.740740741
9,0.074074074,0.296296296,0.62962963
9,0.074074074,0.407407407,0.518518519
9,0.074074074,0.518518519,0.407407407
9,0.074074074,0.62962963,0.296296296
9,0.074074074,0.740740741,0.185185185
9,0.074074074,0.851851852,0.074074074
9,0.185185185,0.074074074,0.740740741
9,0.185185185,0.740740741,0.074074074
9,0.296296296,0.074074074,0.62962963
9,0.296296296,0.62962963,0.074074074
9,0.407407407,0.074074074,0.518518519
9,0.407407407,0.518518519,0.074074074
9,0.518518519,0.074074074,0.407407407
9,0.518518519,0.407407407,0.074074074
9,0.62962963,0.074074074,0.296296296
9,0.62962963,0.296296296,0.074074074
9,0.740740741,0.074074074,0.185185185
9,0.740740741,0.185185185,0.074074074
9,0.851851852,0.074074074,0.074074074
9,0.037037037,0.037037037,0.925925926
9,0.037037037,0.148148148,0.814814815
9,0.037037037,0.259259259,0.703703704
9,0.037037037,0.37037037,0.592592593
